,Department Average,MB,WB,CC,CW,FH,WG,HC,WH,LM,LW,MC,WC,LR,SC,WS,SB,SM,SG,MT,TW,TR,WT
Quality and quantity of necessary apparel and equipment provided for your sport,2.79,2.47,2.23,2.43,2.42,3.25,2.60,3.33,3.38,3.33,3.81,3.21,3.15,2.47,3.35,2.32,2.83,2.57,2.57,2.25,2.20,2.62,2.54
Condition of locker room and competition venue compared to conference schools,,1.88,2.62,2.95,3.47,2.75,2.60,3.52,1.82,3.21,2.90,3.41,3.50,3.62,3.08,2.84,1.89,1.96,2.37,1.17,1.10,2.81,3.00
Adequate attention to safety while traveling for or engaging in practice and competition,3.69,3.59,2.77,4.00,3.83,3.95,3.20,3.89,3.79,3.84,3.71,3.48,3.74,3.87,3.81,3.32,3.89,3.85,3.67,3.88,3.70,3.76,3.67
Travel accomodations were well organized and met expectations,3.48,3.71,3.00,3.65,3.28,3.80,3.20,3.78,3.33,3.60,3.77,3.44,3.58,3.37,3.92,3.47,3.39,3.52,3.64,3.50,3.20,3.25,3.22
Accessibility and effectiveness of athletics administrators to answer questions or address student-athlete concerns,3.50,3.47,3.15,3.59,3.47,3.88,3.00,3.81,3.50,3.48,3.31,3.76,3.67,3.25,3.58,3.67,3.69,3.70,3.41,2.88,3.44,3.52,3.79
Extent to which our team spoke about competitive excellence,,3.65,3.08,3.81,3.56,3.47,2.20,3.67,3.54,3.79,3.55,3.60,3.70,3.83,3.81,3.68,3.94,3.61,3.50,3.38,3.50,3.67,3.67
"Accepting, welcoming environment for diversity provided within the BU athletics community",3.59,3.47,2.75,3.71,3.84,3.90,3.20,3.92,3.75,3.86,3.65,3.89,3.55,3.45,3.65,3.68,3.39,3.86,3.50,3.75,3.20,3.50,3.50
"Similar performance expectations, behavioral standards and support provided compared to your male/female counterparts",3.35,3.67,3.15,3.67,3.63,3.33,2.67,3.74,2.29,3.63,3.38,3.73,3.47,2.68,3.92,3.45,3.06,3.75,3.30,3.13,3.40,3.65,3.00
"Ability to successfully manage time demands and achieve appropriate balance between academics, athletics, and community and social experiences",3.12,2.94,2.85,3.38,2.79,3.35,3.20,3.56,3.38,3.26,2.87,3.07,2.75,3.23,3.38,2.71,3.39,3.43,3.20,2.88,2.80,3.27,3.04
Extent to which your coaches emphasized the importance of academic achievement as well as involvement within the athletic department,3.46,3.71,2.62,3.90,3.11,3.60,3.40,3.15,3.75,3.56,3.32,3.43,3.00,3.67,3.58,3.52,3.83,3.71,3.34,3.50,3.70,3.42,3.35
,,,,,,,,,,,,,,,,,,,,,,,
Overall experience,3.36,3.31,2.92,3.51,3.45,3.48,3.05,3.54,3.33,3.54,3.36,3.38,3.40,3.35,3.60,3.29,3.51,3.44,3.34,3.08,3.15,3.22,3.13
Winnter Percentage,,0.629,.548,,,.222,,.586,.455,.706,.118,,,,.344,.625,.702,,,.143,.636,,
League Finish,3,,,3,2,,1,,,,,10,1,2,,,,5,4,,,3/3,3/3
League Champion,,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N
,,,,,,,,,,,,,,,,,,,,,,,
"*Student-athlete annual surveys are distributed at the conclusion of each season (includes Fall 2021, Winter 2021-22, Spring 2022)",,,,,,,,,,,,,,,,,,,,,,,
"*Surveys are based on a 1 to 4 ascending scale (1=Worst, 4=Best) ",,,,,,,,,,,,,,,,,,,,,,,
*Average team score of 3.75 or higher is noted in green ,,,,,,,,,,,,,,,,,,,,,,,
*Average team score of 2.75 or lower is noted in red,,,,,,,,,,,,,,,,,,,,,,,
