,Department Average,MB,WB,CC,CW,FH,WG,HC,WH,LM,LW,MC,WC,LR,SC,WS,SB,SM,SG,MT,TW,TR,WT
Extent to which your coaches emphasized the importance of academic achievement as well as involvement within the athletic department,3.63,3.79,3.92,3.73,3.62,3.95,4.00,3.42,2.82,3.64,3.42,3.50,3.18,4.00,3.67,3.81,3.95,3.95,3.85,3.09,3.91,3.33,3.27
,,,,,,,,,,,,,,,,,,,,,,,
Overall experience,3.45,3.45,3.59,3.57,3.54,3.60,3.87,3.45,3.16,3.37,3.44,3.58,3.40,3.56,3.54,3.41,3.72,3.44,3.61,2.79,3.59,3.25,2.98
Winning Percentage,,0.389,.800,,,.833,,.656,.500,.545,.400,,,,.375,.500,.900,,,.333,.833,,
League Finish,3,,,2,1,,2,,,,,20,3,2,,,,N/A,N/A,,,NA/6,NA/4
League Champion,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N
,,,,,,,,,,,,,,,,,,,,,,,
"*Student-athlete annual surveys are distributed at the conclusion of each season (includes Winter 2020-21, Fall/Spring 2021)",,,,,,,,,,,,,,,,,,,,,,,
"*Surveys are based on a 1 to 4 ascending scale (1=Worst, 4=Best) ",,,,,,,,,,,,,,,,,,,,,,,
*Average team score of 3.75 or higher is noted in green ,,,,,,,,,,,,,,,,,,,,,,,
*Average team score of 2.75 or lower is noted in red,,,,,,,,,,,,,,,,,,,,,,,
